IPC	Parent_IPC	Level	Description	Description_EN
A01C15/10	A01C15/08	6	带往复式推出器的	with reciprocating pushers
A01C15/12	A01C15/00	4	肥料箱带可动部件的	with movable parts of the receptacle
A01C15/14	A01C15/00	4	带提出肥料的装置	with means for lifting out the fertiliser
A01C15/16	A01C15/00	4	带推出肥料的装置，如采用排肥轮的	with means for pushing out the fertiliser, e.g. by a roller
A01C15/18	A01C15/00	4	带环链的	with endless chains
A01C17/00	A01C	3	带离心轮的施肥机或播种机（物件或固体散装物料的机械抛料机一般入B65G 31/00；砂粒、砾石或盐的撒布机入E01C 19/20） 〔3〕	Fertilisers or seeders with centrifugal wheels (mechanical throwing machines for articles or solid bulk materials, in general B65G 31/00; sand, gravel, or salt spreaders E01C 19/20) [3]
A01C19/00	A01C	3	施肥机或播种机工作部件的驱动装置 〔4〕	Arrangements for driving working parts of fertilisers or seeders [4]
A01C19/02	A01C19/00	4	由发动机驱动的 〔4〕	by a motor [4]
A01C19/04	A01C19/00	4	由驱动行走轮驱动的 〔4〕	by a ground-engaging wheel [4]
A01C21/00	A01C	3	施肥方法（肥料入C05；土壤调节和土壤稳定材料入C09K 17/00）	Methods of fertilising (fertilisers C05; soil-conditioning or soil-stabilising materials C09K 17/00)
A01C23/00	A01C	3	专门适用于液体厩肥或其他液体肥料，包括氨水的撒布装置，例如运输罐、喷洒车（田地浇水一般入A01G 25/00；喷洒或施用液体或其他流体材料的一般入B05）	Distributing devices specially adapted for liquid manure or other fertilising liquid, including ammonia, e.g. transport tanks, sprinkling wagons (watering fields in general A01G 25/00; spraying or applying liquids or other fluent materials in general B05)
A01C23/02	A01C23/00	4	将液体直接输送进土壤里的专用设备	Special arrangements for delivering the liquid directly into the soil
A01C23/04	A01C23/00	4	加压撒布；撒布泥肥；施用液肥的浇水系统	Distributing under pressure; Distributing mud; Adaptation of watering systems for fertilising-liquids
A01C3/00	A01C	3	厩肥处理；施厩肥（粪叉入A01D  9/00； 由废物或垃圾制成的有机肥料入C05F）	Treating manure; Manuring (dung forks A01D 9/00; organic fertilisers from waste or refuse C05F)
A01C3/02	A01C3/00	4	厩肥的贮存地点，如贮存液体厩肥的罐车；厩肥的发酵装置（污水处理构筑物入E03F 5/00；青贮塔，青贮槽入E04H 7/22）	Storage places for manure, e.g. cisterns for liquid manure; Installations for fermenting manure (sewerage structures E03F 5/00; silos, bunkers E04H 7/22)
A01C3/04	A01C3/00	4	厩肥装载机（装载机一般入B65G）	Manure loaders (loaders in general B65G)
A01C3/06	A01C3/00	4	厩肥撒布装置，例如撒粪机	Manure distributors, e.g. dung distributors
A01C3/08	A01C3/06	5	用于撒布已铺放在土壤上的厩肥的 〔2〕	for manure already laying on the soil [2]
A01C5/00	A01C	3	用于播种、种植或施厩肥的开挖沟穴或覆盖沟穴（作垄用犁入A01B 13/02）	Making or covering furrows or holes for sowing, planting, or manuring (ploughs for making ridges A01B 13/02)
A01C5/02	A01C5/00	4	用于播种、种植或施厩肥的挖穴手动工具（树木的移栽装置入A01G 23/02）	Hand tools for making holes for sowing, planting or manuring (transplanting devices for trees A01G 23/02)
A01C5/04	A01C5/00	4	用于播种或种植的挖掘或覆盖坑穴的机械	Machines for making or covering holes for sowing or planting
A01C5/06	A01C5/00	4	用于播种或种植的开沟、作畦或覆盖沟、畦的机械	Machines for making or covering drills or furrows for sowing or planting
A01C5/08	A01C5/00	4	施厩肥和播种，或施厩肥和种植兼用的机械	Machines for both manuring and sowing or both manuring and planting
A01C7/00	A01C	3	播种（驱动工作部件的装置入A01C 19/00）	Sowing (arrangements for driving working parts A01C 19/00)
A01C7/02	A01C7/00	4	手动播种工具	Hand sowing implements
A01C7/04	A01C7/00	4	带或不带吸入装置的单粒谷物播种机	Single-grain seeders with or without suction devices
A01C7/06	A01C7/00	4	与施肥装置组合的播种机（与整地部件组合的入A01B 49/04）	Seeders combined with fertilising apparatus (combinations with soil working tools A01B 49/04)
A01C7/08	A01C7/00	4	撒播播种机；条播播种机	Broadcast seeders; Seeders depositing seeds in rows
A01C7/10	A01C7/08	5	调整种子箱的装置	Devices for adjusting the seed-box
A01C7/12	A01C7/08	5	带喂入轮的播种机	Seeders with feeding-wheels
A01C7/14	A01C7/12	6	带匙轮或斗轮的播种机	Seeders with spoon or bucket wheels
A01C7/16	A01C7/08	5	带其他撒布装置的播种机，例如用刷子、圆盘、螺旋、滑板的（用循环链的入A01C 15/18）	Seeders with other distributing devices, e.g. brushes, discs, screws, slides (with endless chains A01C 15/18)
A01C7/18	A01C7/00	4	间隔式定量播种的机械	Machines for depositing quantities of seed at intervals
A01C7/20	A01C7/00	4	导种和播种的播种机零件	Parts of seeders for conducting and depositing seed
A01C9/00	A01C	3	马铃薯种植机（与整地组合的入A01B 49/04）	Potato planters (combinations with soil-working A01B 49/04)
A01C9/02	A01C9/00	4	带传送带的	with conveyer belts
A01C9/04	A01C9/00	4	带斗轮的	with bucket wheels
A01C9/06	A01C9/00	4	带入土或抓紧装置的	with piercing or grasping devices
A01C9/08	A01C9/00	4	带其他撒布装置的，例如隔板、螺旋、水平旋转盘	with other distributing devices, e.g. flaps, screws, horizontal turning plates
A01D	A01	2	收获；割草	HARVESTING; MOWING
A01D1/00	A01D	3	收获用手割工具（苹果或与其类似的水果的采摘装置入A01D 46/24；绿篱修剪工具入A01G 3/04）	Hand-cutting implements for harvesting (devices for picking apples or like fruits A01D 46/24; hedge trimming means A01G 3/04)
A01D1/02	A01D1/00	4	长柄大镰刀	Scythes
A01D1/04	A01D1/00	4	镰刀	Sickles
A01D1/06	A01D1/00	4	割刀	Knives
A01D1/08	A01D1/00	4	刀片的固定装置	Attaching means for blades
A01D1/10	A01D1/08	5	用偏心杠杆的方法紧固的	with fastening by means of eccentric levers
A01D1/12	A01D1/08	5	可用几种方法调整刀片的	with blades adjustable in several ways
A01D1/14	A01D1/00	4	手柄；附件，如长柄大镰刀筐，安全装置	Handles; Accessories, e.g. scythe baskets, safety devices
A01D101/00	A01D	3	草坪割草机 〔6〕	Lawn-mowers [6]
A01D11/00	A01D	3	其他手动工具（苹果或与其类似的水果的采摘装置入A01D 46/24）	Other hand implements (devices for picking apples or like fruits A01D 46/24)
A01D11/02	A01D11/00	4	用于挖掘或收获甜菜、马铃薯或其他根茎作物的	for lifting or cropping beet, potatoes, or other root crops
A01D11/04	A01D11/00	4	用于装卸根茎作物的， 例如铲、叉式铲	for handling root crops, e.g. shovels, fork-like shovels
A01D11/06	A01D11/00	4	组合工具，例如叉和耧耙	Combined implements, e.g. fork and rake
A01D13/00	A01D	3	挖掘机，例如马铃薯挖掘犁	Diggers, e.g. potato ploughs
A01D15/00	A01D	3	有筛子但没有输送装置的挖掘机械	Digging machines with sieve graters but without conveying mechanisms
A01D15/02	A01D15/00	4	带刚性筛的	with rigid grates
A01D15/04	A01D15/00	4	带移动或振动筛的	with moving or vibrating grates
A01D17/00	A01D	3	带筛和输送装置的挖掘机械	Digging machines with sieving and conveying mechanisms
A01D17/02	A01D17/00	4	输送器安装在筛选装置之上的	with conveyers arranged above the sieving device
A01D17/04	A01D17/00	4	输送器安装在筛选装置之下的	with conveyers arranged below the sieving device
A01D17/06	A01D17/00	4	带滚动筛或圆盘筛的	with rollers or disc screens
A01D17/08	A01D17/00	4	带抖动式筛的	with shaker type screens
A01D17/10	A01D17/00	4	带平滑传送带、板条带或刮板带的	with smooth conveyer belts, lath bands, or rake bands
A01D17/12	A01D17/00	4	带斗式输送器的	with bucket conveyers
A01D17/14	A01D17/00	4	带滚动筛的	with cylindrical screens
A01D17/16	A01D17/14	5	带螺旋输送器的	with a conveyer spiral
A01D17/18	A01D17/14	5	没有螺旋输送器的	without a conveyer spiral
A01D17/20	A01D17/14	5	带几个联动筛的	with several co-operating screens
A01D17/22	A01D17/14	5	带几个联动筛带的	with several co-operating sifter bands
A01D19/00	A01D	3	带有离心轮、滚筒或抛掷器的挖掘机械	Digging machines with centrifugal wheels, drums, or spinners
A01D19/02	A01D19/00	4	收获工作部件绕与行进方向横向安装的水平轴旋转的	with working tools rotating around a horizontal axis arranged transverse to the direction of travel
A01D19/04	A01D19/00	4	收获工作部件绕与行进方向平行安装的水平轴旋转的	with working tools rotating around a horizontal axis arranged parallel to the direction of travel
A01D19/06	A01D19/04	5	带戽斗轮或滚筒的	with scoop wheels or drums
A01D19/08	A01D19/04	5	带戽斗齿链的	with scoop tine chains
A01D19/10	A01D19/04	5	带接收筛的；用于存放根茎作物的装置	with receiving screens; Implements for depositing the root crops
A01D19/12	A01D19/00	4	收获工作部件安装在近似垂直的轴上的	with working tools arranged on an approximately vertical axis
A01D19/14	A01D19/12	5	带1个筛选轮的	with one screening wheel
A01D19/16	A01D19/12	5	带若干个筛选轮的	with several screening wheels
A01D19/18	A01D19/12	5	带筛齿链的	with screen tine chains
A01D21/00	A01D	3	带有马铃薯捡拾装置的挖掘机械	Digging machines with potato-picking implements
A01D21/02	A01D21/00	4	带上下移动的捡拾工具的	with picking tools moved up-and-down
A01D21/04	A01D21/00	4	带旋转式捡拾工具的	with rotating picking tools
A01D23/00	A01D	3	去顶机械	Topping machines
A01D23/02	A01D23/00	4	挖掘前切割顶叶的	cutting the tops before being lifted
A01D23/04	A01D23/00	4	挖掘后切割顶叶的	cutting the tops after being lifted
A01D23/06	A01D23/00	4	带有捡拾和存放顶叶装置的；使顶叶免于损伤的装置	with collecting and depositing devices for the tops; Devices for protecting the tops against damage
A01D25/00	A01D	3	挖掘甜菜类作物的机械	Lifters for beet or like crops
A01D25/02	A01D25/00	4	带刚性工作部件的机械	Machines with rigid tools
A01D25/04	A01D25/00	4	带移动式或旋转式工作部件的机械	Machines with moving or rotating tools
A01D27/00	A01D	3	同时带有去顶和挖掘机构的机械	Machines with both topping and lifting mechanisms
A01D27/02	A01D27/00	4	带刚性工作部件的	with rigid tools
A01D27/04	A01D27/00	4	带移动式或旋转式工作部件的	with moving or rotating tools
A01D29/00	A01D	3	花生收获机	Harvesters for peanuts
A01D3/00	A01D	3	用于长柄大镰刀、镰刀或类似物的无磨料刃磨装置	Non-abrasive sharpening devices for scythes, sickles, or the like
A01D3/02	A01D3/00	4	用冲击工具的	with percussive tools
A01D3/04	A01D3/00	4	用压钳的	with pressing jaws
A01D3/06	A01D3/00	4	用压辊或压盘的	with pressing rollers or pressing discs
A01D3/08	A01D3/00	4	零件，如长柄大镰刀铁砧，长柄大镰刀导向板	Details, e.g. scythe anvils, scythe guides
A01D31/00	A01D	3	其他挖掘收获机械	Other digging harvesters
A01D31/02	A01D31/00	4	与其他农业机械组合的，例如与播种机、种植机、干草收获机组合的	combined with other agricultural machines, e.g. drilling, planting, hay-harvesting machines
A01D33/00	A01D	3	挖掘式收获机的附件	Accessories for digging harvesters
A01D33/02	A01D33/00	4	叶片分离机构	Foliage-separating mechanisms
A01D33/04	A01D33/00	4	石块分离机构	Stone-separating mechanisms
A01D33/06	A01D33/00	4	茎秆切割机构	Haulm-cutting mechanisms
A01D33/08	A01D33/00	4	专用分类和清洁机构	Special sorting and cleaning mechanisms
A01D33/10	A01D33/00	4	带或不带称重设备的作物收集装置	Crop collecting devices, with or without weighing apparatus
A01D33/12	A01D33/00	4	带或不带发动机的驱动机构	Driving mechanisms, with or without motor
A01D33/14	A01D33/00	4	工作部件的升降装置	Lifting or lowering mechanisms for the tools
A01D34/00	A01D	3	割草机（在收割时与执行附加操作的设备联合的入A01D 37/00至A01D 41/00，A01D 43/00；可变换成用于收割目的之外的设备的或能够进行收割之外作业的入A01D 42/00）；收割机的收割装置 〔4〕	Mowers (combined with apparatus performing additional operations while mowing A01D 37/00-A01D 41/00, A01D 43/00; convertible to apparatus for purposes other than mowing or capable of performing operations other than mowing A01D 42/00); Mowing apparatus of harvesters [4]
A01D34/01	A01D34/00	4	以切割装置的类型为特征的 〔7〕	characterised by features relating to the type of cutting apparatus [7]
A01D34/02	A01D34/01	5	带往复式切割器的 〔4，7〕	having reciprocating cutters [4, 7]
A01D34/03	A01D34/02	6	安装在车辆上，例如拖拉机上，或用畜力或车辆牵引的 〔4〕	mounted on a vehicle, e.g. a tractor, or drawn by an animal or a vehicle [4]
A01D34/04	A01D34/03	7	有前置切割器的 〔4〕	with cutters at the front [4]
A01D34/06	A01D34/03	7	有侧置切割器的 〔4〕	with cutters at the side [4]
A01D34/07	A01D34/03	7	有后置切割器的 〔4〕	with cutters at the back [4]
A01D34/08	A01D34/02	6	由步行操作者用手操纵的 〔4，7〕	hand-guided by a walking operator [4, 7]
A01D34/10	A01D34/08	7	有机动切割器或轮的 〔4〕	with motor driven cutters or wheels [4]
A01D34/125	A01D34/02	6	带有割下材料卸载装置的（A01D 57/26至A01D 57/30优先；与割下材料的收集或装载装置联合的入A01D 43/06） 〔7〕	with means for discharging mown material (A01D 57/26-A01D 57/30 take precedence; combined with means for gathering or loading mown material A01D 43/06) [7]
A01D34/13	A01D34/02	6	切割装置 〔4〕	Cutting apparatus [4]
A01D34/135	A01D34/13	7	具有可反向移动的协同作用刀杆的 〔7〕	having oppositely movable cooperating knife-bars [7]
A01D34/14	A01D34/13	7	刀杆 〔4〕	Knife-bars [4]
